CommentID,VideoID,CommentText,Author,PublishedAt,LikeCount
UgwNlmookUUglu8l1bN4AaABAg,OmtjAb0Dwsk,ts not tuff,@vera-k3v,2025-07-01T01:33:50Z,1
Ugzc3w1abc0SSo4kNiZ4AaABAg,OmtjAb0Dwsk,Great song!!! What a visual this paints!!! So so cool!!!,@Shylock3436,2025-06-29T20:59:44Z,2
Ugy7iwAyLFmPeVIU1_B4AaABAg,OmtjAb0Dwsk,"😂😂😂😂
Awww .. She's so pretty and cute...
Someone play despacito",@Profeccentric,2025-06-27T22:19:50Z,3
UgyiEwXWJ0WLLvW0BZB4AaABAg,OmtjAb0Dwsk,feel it <3,@rzrzrz-h6q,2025-06-22T21:26:40Z,2
UgwPE103eghXKBbSyvt4AaABAg,OmtjAb0Dwsk,"Yt recommended this song on june 7,2025 12:03 am Saturday",@DianaRamirez-sm5nx,2025-06-07T04:04:00Z,3
UgwG9JrSwU0olwxAzYN4AaABAg,OmtjAb0Dwsk,this song so cute !!! makes me wanna write a high school romance novel ! :3 <3,@nashyshy,2025-06-05T13:52:24Z,9
UgzLGO-8rkrhacXHF6Z4AaABAg,OmtjAb0Dwsk,just finished skhool n came rght away :d,@trantuanngoctrantuanngoc,2025-05-29T04:25:23Z,3
Ugw0u77yrdtscC61HM54AaABAg,OmtjAb0Dwsk,oop damn im late ;-; W song tho,@FrootYT_02,2025-05-28T22:53:26Z,5
UgyFhmvlPAEt-CNYyXx4AaABAg,OmtjAb0Dwsk,😶‍🌫😶‍🌫🥰,@suchint7574,2025-05-28T17:41:26Z,1
Ugx5bXzpfEjSpaRwJmR4AaABAg,OmtjAb0Dwsk,Awesome and adorable song!,@Denzler1718,2025-05-28T14:18:14Z,3
